"","From","To","age","sex","psi",".lower",".upper",".width",".point",".interval"
"267","WL","BLNWR",1,0,0.000404237609267025,0.000219911812541586,0.000667450279241523,0.9,"mean","qi"
"268","WL","BLNWR",1,1,0.000733893867759396,0.000404911384607748,0.0011491142347739,0.9,"mean","qi"
"269","WL","BS",0,0,1.00485663804489e-05,6.52206522025406e-06,1.52207314667864e-05,0.9,"mean","qi"
"270","WL","BS",0,1,1.83853999758843e-05,1.17235905393454e-05,2.8183280748146e-05,0.9,"mean","qi"
"271","WL","BS",1,0,1.55634776742502e-05,9.94426737689991e-06,2.29083385279885e-05,0.9,"mean","qi"
"272","WL","BS",1,1,2.82503211372255e-05,1.87531157426071e-05,4.07738279420409e-05,0.9,"mean","qi"
"273","WL","CNWR",0,0,0.00107457508840719,0.000803290465716113,0.00133522968634991,0.9,"mean","qi"
"274","WL","CNWR",0,1,0.00196724019188178,0.00146145523390274,0.00247605372721309,0.9,"mean","qi"
"275","WL","CNWR",1,0,0.00165877877548369,0.00134345666972393,0.00198326647504433,0.9,"mean","qi"
"276","WL","CNWR",1,1,0.00301093903092764,0.00262401216964503,0.00341567179690436,0.9,"mean","qi"
"277","WL","HB",0,0,9.87292079859014e-05,7.06544467232454e-05,0.000132413146928118,0.9,"mean","qi"
"278","WL","HB",0,1,0.00018066193524402,0.000127321551566054,0.000246451074792153,0.9,"mean","qi"
"279","WL","HB",1,0,0.000152729332616678,0.000109400181760819,0.000202351391356679,0.9,"mean","qi"
"280","WL","HB",1,1,0.000277197340398486,0.000211524939993085,0.000354577005406073,0.9,"mean","qi"
"281","WL","HI",0,0,5.90847907584162e-05,4.0976241646714e-05,8.19699820960807e-05,0.9,"mean","qi"
"282","WL","HI",0,1,0.000108139987116969,7.55690887423556e-05,0.000151350462216654,0.9,"mean","qi"
"283","WL","HI",1,0,9.13831939617624e-05,6.45069183765575e-05,0.000123198619930987,0.9,"mean","qi"
"284","WL","HI",1,1,0.000165885397522415,0.000122466907741327,0.000216673932760064,0.9,"mean","qi"
"285","WL","LINWR",0,0,0.00227257604282965,0.0016962574142257,0.00279916630732425,0.9,"mean","qi"
"286","WL","LINWR",0,1,0.004160842382204,0.00310581197908642,0.00518602536395133,0.9,"mean","qi"
"287","WL","LINWR",1,0,0.00350597384999803,0.00288604895613013,0.00415077968960158,0.9,"mean","qi"
"288","WL","LINWR",1,1,0.00636393860709007,0.00573964714937237,0.00700675327237046,0.9,"mean","qi"
"289","WL","LL",0,0,0.000960309364186136,0.000689624180155959,0.00121423800808379,0.9,"mean","qi"
"290","WL","LL",0,1,0.0017584963223026,0.00130444694926892,0.00225674763462533,0.9,"mean","qi"
"291","WL","LL",1,0,0.00148175943225253,0.00116910700051111,0.00178317179048424,0.9,"mean","qi"
"292","WL","LL",1,1,0.00269008182321525,0.00229864712800359,0.00310685112348482,0.9,"mean","qi"
"293","WL","M",0,0,4.43449784555745e-05,3.08491490846444e-05,6.20184486789181e-05,0.9,"mean","qi"
"294","WL","M",0,1,8.11347020255126e-05,5.52111446277642e-05,0.000115150494576191,0.9,"mean","qi"
"295","WL","M",1,0,6.86435027502191e-05,4.71117884760904e-05,9.52091548535891e-05,0.9,"mean","qi"
"296","WL","M",1,1,0.000124582515749435,9.07396261930806e-05,0.000166169697828056,0.9,"mean","qi"
"297","WL","P",0,0,0.000168474115974964,0.000118640242224248,0.000226073053876294,0.9,"mean","qi"
"298","WL","P",0,1,0.000308440537087116,0.000223549333688255,0.000414580092127399,0.9,"mean","qi"
"299","WL","P",1,0,0.00026029454011333,0.000192369100559317,0.000336884912490401,0.9,"mean","qi"
"300","WL","P",1,1,0.000472555583840377,0.000370320187598898,0.000587491977602636,0.9,"mean","qi"
"301","WL","RLNWR_N",0,0,0.000239620000815167,0.000175690509902446,0.000316869458799224,0.9,"mean","qi"
"302","WL","RLNWR_N",0,1,0.000438314425834415,0.000300374634010739,0.000583596031742217,0.9,"mean","qi"
